Code_insee;Communes (OTI);Regroupement (ODOOD et AMELIE)
04008;Annot;Annot
04032;Braux;Annot
04090;Le Fugeret;Annot
04115;Méailles;Annot
04174;Saint-Benoît;Annot
04224;Ubraye;Annot
04236;Vergons;Annot
04006;Allos;Colmars-les-Alpes
04025;Beauvezer;Colmars-les-Alpes
04061;Colmars;Colmars-les-Alpes
04218;Thorame-Basse;Colmars-les-Alpes
04219;Thorame-Haute;Colmars-les-Alpes
04240;Villars-Colmars;Colmars-les-Alpes
083002;Aiguines;De la Palud-sur-Verdon au Teillon
06028;Caille;De la Palud-sur-Verdon au Teillon
04039;Castellane;De la Palud-sur-Verdon au Teillon
04069;Demandolx;De la Palud-sur-Verdon au Teillon
083013;La Bastide;De la Palud-sur-Verdon au Teillon
04092;La Garde;De la Palud-sur-Verdon au Teillon
083074;La Martre;De la Palud-sur-Verdon au Teillon
04144;La Palud-sur-Verdon;De la Palud-sur-Verdon au Teillon
04148;Peyroules;De la Palud-sur-Verdon au Teillon
04171;Rougon;De la Palud-sur-Verdon au Teillon
06130;SAINT-VALLIER-DE-THIEY;De la Palud-sur-Verdon au Teillon
04210;Soleilhas;De la Palud-sur-Verdon au Teillon
04042;Castellet-lès-Sausses;Entrevaux
04076;Entrevaux;Entrevaux
04170;La Rochette;Entrevaux
04194;Saint-Pierre;Entrevaux
04202;Sausses;Entrevaux
04043;Val-de-Chalvagne;Entrevaux
04005;Allons;Saint-André-les-Alpes
04007;Angles;Saint-André-les-Alpes
04022;Barrême;Saint-André-les-Alpes
04030;Blieux;Saint-André-les-Alpes
04055;Chaudon-Norante;Saint-André-les-Alpes
04059;Clumanc;Saint-André-les-Alpes
04136;La Mure-Argens;Saint-André-les-Alpes
04099;Lambruisse;Saint-André-les-Alpes
04133;Moriez;Saint-André-les-Alpes
04173;Saint-André-les-Alpes;Saint-André-les-Alpes
04180;Saint-Jacques;Saint-André-les-Alpes
04183;Saint-Julien-du-Verdon;Saint-André-les-Alpes
04187;Saint-Lions;Saint-André-les-Alpes
04204;Senez;Saint-André-les-Alpes
04214;Tartonne;Saint-André-les-Alpes
05023;Briançon;Tous
013022;Cassis;Tous
04070;Digne-les-Bains;Tous
05061;Gap;Tous
06069;Grasse;Tous
038185;Grenoble;Tous
04094;Gréoux-les-Bains;Tous
083107;Les Issambres (Roquebrune sur Argens);Tous
013055;Marseille;Tous
013201;Marseille;Tous
04135;Moustiers-Sainte-Marie;Tous
06088;Nice;Tous
06099;Puget-Théniers;Tous
04176;Sainte-Croix-du-Verdon;Tous
026362;Valence;Tous
